RegionName,date,rent_index,rent_growth
"Seattle, WA",2015-01-31,1751.171680068968,
"Seattle, WA",2015-02-28,1760.9082654869658,0.00556004047393821
"Seattle, WA",2015-03-31,1773.0086993200557,0.006871700286865012
"Seattle, WA",2015-04-30,1777.8456524932087,0.002728104591369407
"Seattle, WA",2015-05-31,1786.3529641159157,0.004785180091858132
"Seattle, WA",2015-06-30,1793.6141287060866,0.004064798355102539
"Seattle, WA",2015-07-31,1810.512178800425,0.009421229362487571
"Seattle, WA",2015-08-31,1819.8528639384272,0.005159139633178711
"Seattle, WA",2015-09-30,1830.8252086110372,0.006029248237609863
"Seattle, WA",2015-10-31,1841.613810452017,0.005892753601073997
"Seattle, WA",2015-11-30,1854.1717930381003,0.006819009780884011
"Seattle, WA",2015-12-31,1870.7960189795424,0.008965849876403809
"Seattle, WA",2016-01-31,1881.4352328850484,0.00568699836730957
"Seattle, WA",2016-02-29,1898.161926610408,0.008890390396118164
"Seattle, WA",2016-03-31,1901.400651277906,0.00170624256134011
"Seattle, WA",2016-04-30,1915.0025685069077,0.007153630256653054
"Seattle, WA",2016-05-31,1923.9954426740148,0.004696011543273704
"Seattle, WA",2016-06-30,1942.086065163576,0.009402632713317871
"Seattle, WA",2016-07-31,1954.6392552310224,0.006463766098022683
"Seattle, WA",2016-08-31,1965.382001610776,0.005496025085449219
"Seattle, WA",2016-09-30,1971.889456136573,0.0033110380172729492
"Seattle, WA",2016-10-31,1978.198198805654,0.003199338912963867
"Seattle, WA",2016-11-30,1987.5126014403256,0.004708528518676758
"Seattle, WA",2016-12-31,1990.010317133368,0.001256704330444114
"Seattle, WA",2017-01-31,2006.575454093492,0.008324146270752175
"Seattle, WA",2017-02-28,2018.746313153747,0.006065487861633079
"Seattle, WA",2017-03-31,2045.06247497491,0.013035893440246582
"Seattle, WA",2017-04-30,2058.771055472451,0.0067032575607299805
"Seattle, WA",2017-05-31,2071.0314885320454,0.005955219268798606
"Seattle, WA",2017-06-30,2083.9295638808258,0.006227850914001687
"Seattle, WA",2017-07-31,2092.5044069008445,0.004114747047424316
"Seattle, WA",2017-08-31,2107.1980213942734,0.0070220232009887695
"Seattle, WA",2017-09-30,2118.060558306137,0.005154967308044434
"Seattle, WA",2017-10-31,2129.9403301667726,0.005608797073364258
"Seattle, WA",2017-11-30,2133.1591304212993,0.001511216163635254
"Seattle, WA",2017-12-31,2138.9458079215315,0.002712726593017578
"Seattle, WA",2018-01-31,2138.8852496466207,-2.831220626842157e-05
"Seattle, WA",2018-02-28,2143.5826539065692,0.002196192741394043
"Seattle, WA",2018-03-31,2149.3015264292135,0.0026679039001467064
"Seattle, WA",2018-04-30,2160.6475709094016,0.005278944969177024
"Seattle, WA",2018-05-31,2173.999961446179,0.006179809570312056
"Seattle, WA",2018-06-30,2179.061893920193,0.0023283958435063035
"Seattle, WA",2018-07-31,2183.2137086492307,0.0019053220748899147
"Seattle, WA",2018-08-31,2181.178220232637,-0.0009323358535765491
"Seattle, WA",2018-09-30,2191.1802828630152,0.004585623741149902
"Seattle, WA",2018-10-31,2196.9336732837305,0.0026257038116452858
"Seattle, WA",2018-11-30,2207.8033593122077,0.004947662353515847
"Seattle, WA",2018-12-31,2217.847768039471,0.004549503326415794
"Seattle, WA",2019-01-31,2227.889226435207,0.004527568817138672
"Seattle, WA",2019-02-28,2239.7967340297,0.005344748497009277
"Seattle, WA",2019-03-31,2242.754877742735,0.0013207197189331055
"Seattle, WA",2019-04-30,2245.872797591205,0.001390218734741211
"Seattle, WA",2019-05-31,2249.178714056089,0.0014719963073730469
"Seattle, WA",2019-06-30,2256.698223495045,0.00334322452545166
"Seattle, WA",2019-07-31,2268.147150777796,0.0050733089447021484
"Seattle, WA",2019-08-31,2282.0362468997214,0.006123542785644531
"Seattle, WA",2019-09-30,2289.394654688283,0.003224492073059082
"Seattle, WA",2019-10-31,2299.5206982312525,0.004423022270202859
"Seattle, WA",2019-11-30,2309.198928251269,0.004208803176879883
"Seattle, WA",2019-12-31,2319.5369921768306,0.00447690486907959
"Seattle, WA",2020-01-31,2330.041897146736,0.0045288801193237305
"Seattle, WA",2020-02-29,2337.630094686561,0.003256678581237793
"Seattle, WA",2020-03-31,2348.7150896083576,0.004741979899639759
